,train_losses,val_losses,f1s
0,0.6200536209416677,0.5407568783987136,0.8799362977815661
1,0.49984455754958,0.4399759755248115,0.8799362977815661
2,0.4284796388034361,0.3835254226412092,0.8799362977815661
3,0.3816902098885502,0.3461900580497015,0.8799362977815661
4,0.3493248967521162,0.3216168114117214,0.8799362977815661
5,0.3260016520339322,0.30574403632254826,0.8799362977815661
6,0.3098357195954725,0.2985337795246215,0.8799362977815661
7,0.2993334863918373,0.2869597382488705,0.8799362977815661
8,0.2920715650880193,0.2852064094373158,0.8799362977815661
9,0.28815701065293275,0.280961370184308,0.8799362977815661
10,0.2851264781980629,0.28095666141737075,0.8799362977815661
11,0.28429859463708945,0.2802959822473072,0.8799362977815661
12,0.28287850643496915,0.28114217094012667,0.8799362977815661
